X,Y,Z,formation
601478.4040788404,7020165.663465643,458.0,encaixante_rio_bonito
600754.9583433039,7021238.417994008,457.0,encaixante_rio_bonito
587220.9474296315,7016917.512690865,826.276123046875,dique
583452.1759599091,7011328.958001821,467.2000000000001,sill_diabasio
583449.8037423857,7011331.27380956,470.1363525390625,sill_diabasio
583452.3932727327,7011329.509671165,466.0596923828125,sill_diabasio
582834.3262678568,7010985.998913727,588.80712890625,encaixante_serra_alta
601506.8774320153,7019135.46511608,616.4869384765625,encaixante_rio_bonito
601425.5359451564,7019091.278417969,521.4959106445312,encaixante_rio_bonito
587434.1871999996,7011778.7666,801.7566347302574,sill_diabasio
587476.6767007384,7011805.291695508,809.5128553138593,sill_diabasio
587519.1662014773,7011831.816791016,812.911949523103,sill_diabasio
587561.6557022161,7011858.341886524,818.4243123989365,sill_diabasio
587604.1452029549,7011884.866982032,819.5021710329577,sill_diabasio
587646.6347036937,7011911.39207754,817.4684047511605,sill_diabasio
587689.1242044326,7011937.917173048,814.5311942521469,sill_diabasio
587731.6137051714,7011964.442268556,812.1053087353877,sill_diabasio
587774.1032059102,7011990.967364064,806.9262025340385,sill_diabasio
587816.5927066491,7012017.492459572,799.480687804686,sill_diabasio
587860.8499369716,7012040.904298835,795.5081711112143,sill_diabasio
587905.3997898778,7012063.800782644,791.6026153732712,sill_diabasio
587949.9496427841,7012086.697266452,790.1317827114206,sill_diabasio
587994.4994956903,7012109.59375026,789.3466257496925,sill_diabasio
588039.0493485965,7012132.490234068,790.3629124466231,sill_diabasio
588083.5992015027,7012155.386717876,790.5124856613846,sill_diabasio
588128.149054409,7012178.283201684,789.7971698038708,sill_diabasio
588172.6989073153,7012201.179685492,788.4110974632629,sill_diabasio
588217.2487602215,7012224.076169301,788.171761741276,sill_diabasio
588261.7986131278,7012246.972653109,790.4635299458225,sill_diabasio
588306.348466034,7012269.8691369165,797.5116986766755,sill_diabasio
588350.8983189403,7012292.765620724,807.2606899706088,sill_diabasio
588395.4481718466,7012315.662104533,816.5638727602394,sill_diabasio
588439.9980247528,7012338.558588341,823.9049295406263,sill_diabasio
588484.5478776591,7012361.455072149,827.3801699926332,sill_diabasio
588529.0977305654,7012384.3515559565,828.5069687567031,sill_diabasio
588573.6475834716,7012407.248039765,834.8047158238692,sill_diabasio
588613.1755282377,7012437.795078204,840.9567426683345,sill_diabasio
588651.902468006,7012469.56239633,856.8092218360503,sill_diabasio
588690.6294077744,7012501.329714456,871.0467222940147,sill_diabasio
588729.3563475428,7012533.097032581,884.5627013697449,sill_diabasio
588768.0832873113,7012564.864350708,891.266135707611,sill_diabasio
588806.8102270797,7012596.631668834,894.9858933760679,sill_diabasio
588845.537166848,7012628.39898696,894.9999999999999,sill_diabasio
588884.2641066164,7012660.166305086,895.0,sill_diabasio
588922.9910463848,7012691.933623211,895.5096010176328,sill_diabasio
588961.7179861532,7012723.700941337,897.462534206816,sill_diabasio
589000.4449259215,7012755.468259464,899.4359832426208,sill_diabasio
589039.1718656899,7012787.23557759,901.7525687579036,sill_diabasio
589077.8988054583,7012819.002895716,903.5673008593722,sill_diabasio
589117.8457568557,7012848.93654048,903.4972564513624,sill_diabasio
589162.107667693,7012872.384815763,903.6938206034592,sill_diabasio
589206.3695785304,7012895.833091047,904.7266922318528,sill_diabasio
589250.6314893678,7012919.28136633,906.3896734871594,sill_diabasio
589294.8934002052,7012942.729641614,912.5814507345324,sill_diabasio
589339.1553110424,7012966.1779168965,918.7833752183428,sill_diabasio
589383.4172218798,7012989.62619218,923.730846973994,sill_diabasio
589427.6791327172,7013013.074467463,925.0,sill_diabasio
589471.9410435546,7013036.522742747,927.035478304142,sill_diabasio
589516.202954392,7013059.97101803,928.9533621065526,sill_diabasio
589560.4648652293,7013083.419293314,930.0675206937252,sill_diabasio
589604.7267760667,7013106.867568597,930.4550664582003,sill_diabasio
